"neo","pha","sats","e","a","i","om","w","moid_jup"
"Y","Y",0,0.5061,1.842,5.41,294.72,173.51,2.39
"N","N",0,0.3224,2.451,3.68,68.34,281.21,2.19
"Y","N",0,0.3912,1.356,7.26,133.04,336.71,3.26
"Y","N",0,0.5024,2.198,4.66,265.41,92.28,2.19
"N","N",1,0.3191,2.37,21.81,278.2,113.28,2.6
"N","N",0,0.2432,2.197,1.19,226.5,109.74,2.64
"N","N",0,0.1266,1.654,15.9,69.05,41.78,3.31
"Y","N",0,0.2921,1.566,7.09,88.6,275.64,3.44
"Y","N",0,0.3169,1.568,9.45,124.36,256.87,3.42
"Y","Y",0,0.3294,1.349,33.47,117.85,47.49,3.37
"N","N",0,0.3807,2.638,6.37,86.45,288,1.85
"N","N",0,0.5737,3.115,20.44,147.2,266.26,1.76
"N","N",0,0.14,1.91,23.15,170.45,265.17,3.11
"N","N",0,0.3014,2.295,6.06,110.95,267.62,2.49
"N","N",0,0.2744,2.294,5.05,289.25,28.52,2.38
"Y","Y",0,0.4816,1.467,3.12,73.39,280.06,3.26
"N","N",0,0.3299,2.382,19.55,224.43,97.33,2.56
"N","N",0,0.2949,2.314,2.39,222.92,170.91,2.44
"N","N",0,0.3498,2.34,21.74,160.43,254.64,2.65
"Y","Y",0,0.1646,1.123,37.12,156.84,249.46,3.97
"Y","N",0,0.5186,2.165,27.12,102.5,228.3,2.35
"N","N",0,0.2731,2.241,3.5,239.97,156.41,2.58
"Y","N",1,0.6632,2.439,26.08,165.87,323.04,1.46
"Y","N",1,0.3463,1.262,36.91,111.26,349.2,3.47
"Y","N",0,0.4662,2.226,25.17,134.12,248.1,2.65
"Y","N",0,0.4321,2.2,7.6,105.34,147.4,1.92
"Y","Y",0,0.456,1.748,1.87,209.82,114.77,2.8
"Y","N",0,0.4091,1.831,2.02,232.79,68.3,2.66
"Y","N",0,0.4624,1.342,28.31,185.61,6.11,3
"Y","N",0,0.4177,1.986,5.91,22.37,105.76,2.29
"Y","N",0,0.6432,1.575,39.59,66.5,241.89,3.21
"Y","N",0,0.7061,2.54,9.54,164.08,25.11,0.66
"N","N",0,0.2641,2.253,3.21,169.14,233.22,2.57
"N","N",0,0.2491,2.197,6.84,42.17,21.71,2.61
"N","N",0,0.2877,2.337,7.7,154.12,196.44,2.42
"N","N",0,0.27,2.266,1.94,352.92,347.19,2.51
"Y","N",0,0.5948,1.687,14.6,317.36,345.84,2.58
"Y","Y",0,0.4304,1.506,37.98,164.09,125.16,3.48
"Y","N",0,0.4491,2.046,8.45,177.09,177.28,2.48
"N","N",0,0.2785,2.293,2.04,271.37,106.23,2.54
"Y","N",0,0.4945,2.521,3.54,118.94,154.03,1.37
"N","N",0,0.2832,2.324,8.66,42.08,270.54,2.37
"Y","N",0,0.3597,1.557,16.09,218.28,307.12,2.95
"N","N",0,0.1497,1.82,20.3,301.94,104.92,3.26
"N","N",0,0.4268,2.737,30.34,51.43,280.98,2.48
"Y","N",0,0.5955,1.497,9.01,179.98,235.85,3.03
"Y","N",0,0.5528,2.71,7.84,287.57,74.19,1.44
"Y","N",0,0.6078,1.424,40.8,315.89,212.36,2.92
"N","N",0,0.2847,2.196,4.34,39.36,324.99,2.63
"Y","N",0,0.5807,2.588,35.98,3.35,62.17,2.48
"N","N",0,0.4204,2.63,8.83,20.34,5.84,1.73
"N","N",0,0.3186,2.339,22.3,187.01,121.63,2.58
"N","N",0,0.2534,2.208,1.14,187.2,144.65,2.59
"N","N",0,0.4295,2.702,4.83,211.9,341.12,1.11
"N","N",0,0.387,2.685,14.7,277.48,15.84,1.5
"Y","Y",0,0.6258,2.243,9.83,168.1,116.2,1.68
"N","N",0,0.4112,2.34,8.08,61.03,275.01,2.15
"Y","N",0,0.5329,2.439,14.59,253.44,103.6,2.09
"N","N",0,0.4341,2.34,29.02,241.9,356.12,1.67
"N","N",0,0.2935,2.17,2.59,42.95,234.89,2.33
"N","N",0,0.3443,2.292,21.85,158.88,243.03,2.64
"Y","Y",0,0.3249,1.249,15.32,8.87,233.74,3.4
"Y","N",0,0.6326,1.9,4.55,328.37,27.44,2.35
"Y","N",0,0.5443,2.374,45.96,112.97,233.99,2.43
"Y","N",0,0.5039,1.235,23.9,312.42,348.47,3.4
"N","N",0,0.3341,1.974,19.24,21.64,222.84,2.48
"Y","N",0,0.1369,1.273,4.38,104.27,183.63,3.64
"N","N",0,0.3994,2.241,20.31,257.5,251.57,2.34
"N","N",0,0.3184,2.309,21.92,170.16,263.21,2.69
"N","N",0,0.3236,2.41,5.6,211.57,83.42,2.06
"Y","N",0,0.2662,1.007,63.47,56.56,132.19,3.82
"N","N",0,0.4086,2.693,11.44,48.46,267.67,1.73
"Y","N",0,0.5128,1.885,13.57,172.92,286.34,2.5
"N","N",0,0.1307,1.905,19.17,176.14,104.96,3.05
"Y","N",0,0.5752,2.577,4.14,257.16,75.52,1.38
"N","N",0,0.3279,2.169,5.88,202.5,82.48,2.32
"Y","N",0,0.4465,1.979,3.08,339.03,92.39,2.47
"Y","N",0,0.3754,1.392,36.88,349.22,22.02,3.58
"N","N",0,0.2392,2.189,3.58,323.15,61.28,2.76
"Y","N",0,0.3374,1.74,1.99,311.7,171.17,2.77
"Y","N",0,0.5358,2.116,25.49,59.32,313.43,2.47
"N","N",0,0.4317,2.596,9.89,65.46,343.41,1.69
"Y","N",0,0.3891,1.721,15.02,144.71,74.77,2.69
"Y","N",0,0.3938,1.46,22.86,141.22,96.45,3.21
"N","N",0,0.3157,2.278,5.88,293.91,30.43,2.35
"Y","Y",0,0.3558,1.08,10.31,234.38,289.52,3.55
"N","N",0,0.3509,2.346,22.49,131.64,289.92,2.48
"Y","N",0,0.4745,1.703,19.43,359.76,116.23,2.77
"N","N",1,0.3155,1.997,29.74,263.29,344.92,2.47
"N","N",0,0.2785,2.194,4.16,41.96,303.41,2.61
"N","N",0,0.2413,2.143,4.55,278.59,130.42,2.74
"N","N",0,0.1516,1.855,24.81,69.62,88.29,3.07
"N","N",0,0.2932,2.247,4.81,252.49,101.84,2.56
"Y","Y",0,0.4059,1.542,24.54,220.69,321.79,2.9
"Y","N",0,0.2721,1.186,38.49,294.96,322.89,3.72
"Y","Y",0,0.4927,1.962,5.31,168.08,147.21,2.4
"N","N",0,0.2759,2.239,2.37,82.67,223.62,2.4
"N","N",0,0.3663,2.416,5.64,336.8,345.09,2.03
"N","N",0,0.4318,2.515,5.26,316.94,238.6,1.42
"Y","N",0,0.4636,2.19,5.87,193.44,110.02,2.1
"Y","Y",0,0.3057,1.336,17.25,116.63,133.85,3.36
"N","N",0,0.3038,2.317,23.49,135.94,269.03,2.78
"N","N",1,0.2384,2.163,3.14,308.32,9.67,2.62
"N","N",0,0.24,2.167,6.48,203.43,79.64,2.48
"N","N",0,0.3194,2.305,21.36,282.05,91.07,2.88
"N","N",0,0.5442,3.099,17.17,229.14,84.88,1.52
"N","N",0,0.301,2.374,3.83,105.44,250.42,2.36
"N","N",0,0.447,2.605,6.5,174.89,136.85,1.58
"Y","N",0,0.4017,1.715,11.41,158.14,51.53,2.6
"N","N",0,0.3284,2.326,21.31,10.79,255.62,2.36
"N","N",0,0.4048,2.727,31.64,170.19,245.22,2.3
"N","N",0,0.3422,2.286,9.01,77.72,216.39,2.16
"Y","Y",0,0.6643,2.851,1.97,57.73,238.64,0.509
"N","N",0,0.3205,2.33,3.31,1.01,324.85,2.27
"N","N",0,0.289,2.272,6.73,138.78,163.58,2.32
"N","N",0,0.2685,2.208,5.37,319.06,5.46,2.53
"N","N",1,0.3156,2.209,26.8,175.34,119.67,2.77
"Y","N",1,0.2554,1.72,14.43,132.57,140.63,3.01
"N","N",0,0.3115,2.305,22.26,245.73,81.15,2.63
"N","N",0,0.3169,2.36,22.86,23.51,293.41,2.61
"Y","N",0,0.1181,1.325,13.87,162.46,94.32,3.56
"Y","N",0,0.5893,2.851,4.54,335.53,104.81,0.866
"N","N",0,0.2998,2.242,8.84,127.78,197.73,2.42
"N","N",0,0.3387,2.261,9.33,311.53,21.8,2.36
"N","N",0,0.2121,1.826,24.27,29.65,112.66,2.92
"N","N",0,0.3025,2.236,1.65,32.29,326.07,2.53
"N","N",0,0.3143,2.34,22.7,191.8,251.4,2.65
"N","N",0,0.386,2.561,8.1,30.4,16.91,1.88
"N","N",0,0.2817,2.289,8.41,239.48,72.09,2.4
"N","N",1,0.2852,2.299,21.93,313.7,78.07,2.89
"Y","N",0,0.4679,2.311,7.21,296.77,47.42,2.07
"Y","N",0,0.4607,2.277,24.94,31.19,21.3,2.18
"N","N",0,0.3587,2.158,4.78,108.65,257.86,2.53
"N","N",0,0.4393,2.792,29.82,118.87,276.42,2.39
